ID	ELEMENT_ID	ADDRESS
461	367	Москва, ул. Маршала Рыбалко, д. 14
462	368	Москва, ул. Маршала Конева, домовл. 6, корп. 1
463	369	Москва, 3-й Волоколамский пр., домовл.14, корп.3
464	370	Москва, ул. Генерала Глаголева, д. 10, корп. 2
465	370	Москва, ул. Генерала Глаголева, д. 15, корп. 3
466	371	Москва, Генерала Карбышева бульв., д.9, корп.2
467	372	Москва, ул. Генерала Глаголева, д. 6, корп. 4
468	373	Москва, Генерала Карбышева бульв., д.7, корп.4
469	374	Москва, ул. Соколово-Мещерская, домовл. 27
470	375	Москва, ул. Соколово-Мещерская, домовл. 27, корп. 2
471	376	Москва, ул. Барышиха, д.17, корп.1
472	377	Москва, ул. Барышиха, д.21, корп.2
473	377	Москва, ул. Барышиха, д.25, корп.2
474	378	Москва, ул. Генерала Белобородова, д. 9, корп.1
475	379	Москва, ул. Пенягинская, д.14
476	380	Москва, ул. Пенягинская, д.14
477	381	Москва, ул. Генерала Белобородова, д. 23
478	382	Москва, ул. Героев Панфиловцев, д.15
479	383	Москва, ул. Туристская, д.16, корп.2
480	384	Москва, ул. Героев Панфиловцев, д.23, корп.2
481	385	Москва, ул. Героев Панфиловцев, д. 3, корп.5
482	386	Москва, ул. Туристская, д.14, корп.5
483	387	Москва, ул. Аэродромная, д. 9
484	388	Москва, ул. Туристская, д.11, корп.2
485	389	Москва, Уваровский пер., д. 8
486	390	Москва, Волоцкой пер., д.15, корп.1
487	391	Москва, Уваровский пер., д. 5, корп. 1
488	392	Москва, Уваровский пер., д. 6
489	393	Москва, ул. Исаковского, д. 29, корп. 1
490	394	Москва, ул. Исаковского, д. 29, корп. 2
491	394	Москва, ул. Исаковского, д. 28, корп. 3
492	395	Москва, ул. Кулакова, д. 12, корп. 2
493	396	Москва, ул. Маршала Катукова, д. 2, корп.
494	397	Москва, ул. Кулакова, д. 14, корп. 2
495	398	Москва, ул. Дубравная, д. 41, корп. 4
496	398	Москва, ул. Барышиха, д. 10, корп. 2
497	399	Москва, ул. Барышиха, д. 12, корп. 2
498	400	Москва, ул. Митинская, д. 19, корп. 1
499	401	Москва, 3-й Митинский пер., д. 12, корп. 1
500	402	Москва, 3-й Митинский пер., д. 1
501	403	Москва, 3-й Митинский пер., д. 6, корп. 2
502	404	Москва, 3-й Митинский пер., д. 1, корп. 2
503	405	Москва, Светлогорский пр, д. 7, корп. 1
504	406	Москва, Яна Райниса, д. 43, корп.2
505	406	Москва, ул. Василия Петушкова, д.23, корп.1
506	407	Москва, Яна Райниса бульв., д. 39, корп.1
507	408	Москва, Яна Райниса бульв., д. 47, корп.2
508	409	Москва, ул. Василия Петушкова, д. 11, корп. 2
509	410	Москва, Ангелов пер., д. 7 корп. 2
510	411	Москва, Ангелов пер., д. 11 корп. 2
511	412	Москва, Пятницкое ш., д. 45, корп.2
512	413	Москва, ул. Барышиха, д. 42, корп.1
513	414	Москва, ул. Барышиха, д. 42, корп.2
514	415	Москва, ул. Барышиха, д.40, корп.
515	416	Москва, Ангелов пер., д.2, корп.3
516	417	Москва, ул. Митинская, д.57, корп.1
517	418	Москва, Пятницкое ш., д.45, корп.1
518	419	Москва, Пятницкое ш., д. 25, корп.3
519	420	Москва, Пятницкое ш., д. 25, корп.2
520	420	Москва, 2-ой Митинский пер., д.5, корп.1
521	421	Москва, Ангелов пер., д.2, корп.2
522	421	Москва, ул. Героев Панфиловцев, д.9 корп.2
523	421	Москва, ул. Свободы, д.65, корп.
524	422	Москва, ул. Мещерякова, д.2, корп.2
525	423	Москва, Новохорошевский пр., д. 12
526	424	Москва, Пятницкое ш., д. 16, корп.5
