ID	COMPLEX_ID	ADDRESS
463	102	Москва, ул. Новощукинская, д. 10, корп.3
464	103	Москва, ул. Маршала Рыбалко, д. 14
465	103	Москва, ул. Маршала Конева, домовл. 6, корп. 1
466	103	Москва, 3-й Волоколамский пр., домовл.14, корп.3
467	104	Москва, ул. Генерала Глаголева, д. 10, корп. 2
468	104	Москва, ул. Генерала Глаголева, д. 15, корп. 3
469	104	Москва, Генерала Карбышева бульв., д.9, корп.2
470	104	Москва, ул. Генерала Глаголева, д. 6, корп. 4
471	104	Москва, Генерала Карбышева бульв., д.7, корп.4
472	105	Москва, ул. Соколово-Мещерская, домовл. 27
473	105	Москва, ул. Соколово-Мещерская, домовл. 27, корп. 2
474	106	Москва, ул. Барышиха, д.17, корп.1
475	106	Москва, ул. Барышиха, д.21, корп.2
476	106	Москва, ул. Барышиха, д.25, корп.2
477	106	Москва, ул. Генерала Белобородова, д. 9, корп.1
478	107	Москва, ул. Пенягинская, д.14
479	107	Москва, ул. Генерала Белобородова, д. 23
480	108	Москва, ул. Героев Панфиловцев, д.15
481	108	Москва, ул. Туристская, д.16, корп.2
482	108	Москва, ул. Героев Панфиловцев, д.23, корп.2
483	108	Москва, ул. Героев Панфиловцев, д. 3, корп.5
484	108	Москва, ул. Туристская, д.14, корп.5
485	109	Москва, ул. Аэродромная, д. 9
486	109	Москва, ул. Туристская, д.11, корп.2
487	110	Москва, Уваровский пер., д. 8
488	110	Москва, Волоцкой пер., д.15, корп.1
489	110	Москва, Уваровский пер., д. 5, корп. 1
490	110	Москва, Уваровский пер., д. 6
491	111	Москва, ул. Исаковского, д. 29, корп. 1
492	111	Москва, ул. Исаковского, д. 29, корп. 2
493	111	Москва, ул. Исаковского, д. 28, корп. 3
494	112	Москва, ул. Кулакова, д. 12, корп. 2
495	112	Москва, ул. Маршала Катукова, д. 2, корп. 2
496	112	Москва, ул. Кулакова, д. 14, корп. 2
497	113	Москва, ул. Дубравная, д. 41, корп. 4
498	113	Москва, ул. Барышиха, д. 10, корп. 2
499	113	Москва, ул. Барышиха, д. 12, корп. 2
500	113	Москва, ул. Митинская, д. 19, корп. 1
501	114	Москва, 3-й Митинский пер., д. 12, корп. 1
502	114	Москва, 3-й Митинский пер., д. 12
