"ID","SHAPE_LENGTH","SHAPE_AREA"
588,9226.710096,2557837.743147
589,5040.086381,1255600.81349
590,2935.758638,226179.419649
591,8336.264626,2060310.443952
592,5895.430482,1398784.15332
593,1145.408286,71345.84778
594,541.083141,17563.581033
595,7167.588957,1052395.00008
596,828.122116,21822.608149
597,4247.826327,661158.050065
598,3451.167498,266816.548441
599,2108.768723,181990.511583
600,3053.737594,141678.024078
601,1564.920313,150738.599776
602,1698.43832,82083.018012
603,1655.490419,115112.3313
604,1166.448478,57884.205753
605,5795.559163,421501.430687
606,4171.186551,1031449.87932
607,7210.992152,646211.77982
608,2433.619056,207526.896685
609,1576.258826,108565.503118
610,4864.986702,780088.119342
611,1338.56834,74175.814036
612,4693.25281,262364.152077
613,6131.083832,1717947.677786
614,5221.630324,753507.746057
615,2521.746099,127966.449929
616,1816.829183,160788.357158
617,2855.761452,506301.630941
618,3068.969885,596646.395851
619,3121.030895,486588.996263
620,3465.104023,310547.601742
621,711.761582,29168.405013
622,2118.324304,267904.36792
623,2198.945524,271434.6902
624,3168.107524,637230.226062
625,1364.494232,111314.049232
626,3408.075911,611288.172478
627,4063.093164,701551.196245
628,3519.192718,635471.490339
629,2492.828976,411067.945043
630,1329.639471,119459.141614
631,1854.754114,220265.754552
632,3189.845698,443821.674605
633,3822.696681,584191.75805
634,2612.612184,220406.813657
635,5620.108183,1044516.23994
636,9941.046577,1515178.599503
637,4534.679721,1101505.208732
