"OBJECTID";"ADDRESS";"settlement";"street";"building_n";"geocoded";"ID";"POINT_X";"POINT_Y";"NEAR_FID";"NEAR_DIST";"NEAR_X";"NEAR_Y"
3411;"Москва, Покровка ул, д.40, стр.1";" ";" ";" ";"Россия, Москва, улица Покровка, 40с1";10866;37,652355;55,761973;1723;0,003128;37,651526;55,758956
3412;"Москва, Покровка ул, д.40, стр.2";" ";" ";" ";"Россия, Москва, улица Покровка, 40с2";10867;37,653199;55,761857;884;0,002737;37,655580;55,760505
3413;"Москва, Покровка ул, д.40, стр.2А";" ";" ";" ";"Россия, Москва, улица Покровка, 40с2а";10868;37,653523;55,761543;884;0,002304;37,655580;55,760505
3414;"Москва, Покровка ул, д.40, стр.5";" ";" ";" ";"Россия, Москва, улица Покровка, 40с5";10869;37,654188;55,761709;884;0,001841;37,655580;55,760505
3415;"Москва, Покровка ул, д.40Б";" ";" ";" ";"Россия, Москва, улица Покровка, 40б";10870;37,652490;55,761126;1723;0,002375;37,651526;55,758956
3416;"Москва, Покровка ул, д.41, стр.1";" ";" ";" ";"Россия, Москва, улица Покровка, 41с2";10871;37,651421;55,762794;1755;0,002695;37,649462;55,764645
3417;"Москва, Покровка ул, д.41, стр.2";" ";" ";" ";"Россия, Москва, улица Покровка, 41с2";10872;37,651421;55,762794;1755;0,002695;37,649462;55,764645
3418;"Москва, Покровка ул, д.41, стр.3";" ";" ";" ";"Россия, Москва, улица Покровка, 41с3";10873;37,650746;55,763083;1755;0,002022;37,649462;55,764645
3419;"Москва, Покровка ул, д.42, стр.1";" ";" ";" ";"Россия, Москва, улица Покровка, 42с5";10874;37,653827;55,762520;884;0,002670;37,655580;55,760505
3420;"Москва, Покровка ул, д.42, стр.10";" ";" ";" ";"Россия, Москва, улица Покровка, 42с13";10875;37,654043;55,761801;884;0,002009;37,655580;55,760505
3421;"Москва, Покровка ул, д.42, стр.13";" ";" ";" ";"Россия, Москва, улица Покровка, 42с13";10876;37,654043;55,761801;884;0,002009;37,655580;55,760505
3422;"Москва, Покровка ул, д.42, стр.2";" ";" ";" ";"Россия, Москва, улица Покровка, 42с5";10877;37,653827;55,762520;884;0,002670;37,655580;55,760505
3423;"Москва, Покровка ул, д.42, стр.5";" ";" ";" ";"Россия, Москва, улица Покровка, 42с5";10878;37,653827;55,762520;884;0,002670;37,655580;55,760505
3424;"Москва, Покровка ул, д.42, стр.6";" ";" ";" ";"Россия, Москва, улица Покровка, 42с6";10879;37,653954;55,762049;884;0,002242;37,655580;55,760505
3425;"Москва, Покровка ул, д.43, стр.1";" ";" ";" ";"Россия, Москва, улица Покровка, 43с1";10880;37,652337;55,762469;1755;0,003605;37,649462;55,764645
3426;"Москва, Покровка ул, д.43, стр.2";" ";" ";" ";"Россия, Москва, улица Покровка, 43с2";10881;37,652615;55,762610;884;0,003636;37,655580;55,760505
3427;"Москва, Покровка ул, д.43, стр.3";" ";" ";" ";"Россия, Москва, улица Покровка, 43с3";10882;37,652480;55,762879;1755;0,003497;37,649462;55,764645
3428;"Москва, Покровка ул, д.43, стр.6";" ";" ";" ";"Россия, Москва, улица Покровка, 43с6";10883;37,651932;55,762767;1755;0,003103;37,649462;55,764645
3429;"Москва, Покровка ул, д.43, стр.7";" ";" ";" ";"Россия, Москва, улица Покровка, 43с7";10884;37,652112;55,762955;1755;0,003143;37,649462;55,764645
3430;"Москва, Покровка ул, д.43, стр.8";" ";" ";" ";"Россия, Москва, улица Покровка, 43с8";10885;37,651825;55,763240;1755;0,002749;37,649462;55,764645
3431;"Москва, Покровка ул, д.43А";" ";" ";" ";"Россия, Москва, улица Покровка, 43а";10886;37,652238;55,763233;1755;0,003114;37,649462;55,764645
3432;"Москва, Покровка ул, д.44";" ";" ";" ";"Россия, Москва, улица Покровка, 44";10887;37,654071;55,762864;884;0,002801;37,655580;55,760505
3433;"Москва, Покровка ул, д.45, стр.4";" ";" ";" ";"Россия, Москва, улица Покровка, 45с4";10888;37,652660;55,763164;1755;0,003525;37,649462;55,764645
